"Description: ","Mean monthly difference between daily TX and daily TN"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, dtr, normalised (all years)
2008-01, 11.3967741935484, 0.0999549115203619
2008-02, 11.9586206896552, 0.432540443674544
2008-03, 11.0774193548387, -0.0890874687636801
2008-04, 13.47, 1.32720276817233
2008-05, 11.5766666666667, 0.206442420683735
2008-06, 9.02, -1.30697868235108
2008-07, 7.23870967741935, -2.36141507015756
2008-08, 10.2838709677419, -0.558829140984615
2008-09, 9.93, -0.76830337449124
2008-10, 10.1548387096774, -0.635209900695325
2008-11, 12.0366666666667, 0.478739829052447
2008-12, 12.9903225806452, 1.04325729394775
2009-01, 12.3838709677419, 0.684267723307332
2009-02, 11.6107142857143, 0.22659693900501
2009-03, 11.9870967741935, 0.449396887196864
2009-04, 14.2966666666667, 1.81654883538569
2009-05, 11.5032258064516, 0.16296903828169
2009-06, 11.9566666666667, 0.431383758031802
2009-07, 11.7387096774194, 0.302363924753786
2009-08, 11.5806451612903, 0.208797494108116
2009-09, 8.68333333333333, -1.50626881456297
2009-10, 12.9733333333333, 1.03320049391913
2009-11, 9.23333333333333, -1.18069582629603
2009-12, 10.9354838709677, -0.17310630444549
2010-01, 11.2709677419355, 0.0254836708024137
2010-02, 10.4714285714286, -0.447804250976497
2010-03, 12.7838709677419, 0.921048078410559
2010-04, 13.0066666666667, 1.05293219017777
2010-05, 8.98064516129032, -1.33027481406285
2010-06, 9.54, -0.999164220716888
2010-07, 10.7483870967742, -0.283858406026003
2010-08, 10.7903225806452, -0.259034659120001
2010-09, 9.6, -0.963647167451403
2010-10, 13, 1.04898585092603
2010-11, 15.1833333333333, 2.34141195586447
2010-12, 14.1193548387097, 1.71158894141653
2011-01, 12.641935483871, 0.837029242728809
2011-02, 11.1035714285714, -0.073606725500894
2011-03, 12.7967741935484, 0.92868615438166
2011-04, 13.1033333333333, 1.11015410932768
2011-05, 9.97096774193548, -0.744052483283089
2011-06, 10.48, -0.442730386224301
2011-07, 9.78387096774193, -0.854804584863633
2011-08, 9.66129032258064, -0.927366306588815
2011-09, 13.09, 1.10226143082426
2011-10, 11.1967741935484, -0.0184352660312517
2011-11, 13.7466666666667, 1.49097584711875
2011-12, 14.2354838709677, 1.78033162515614
2012-01, 16.0548387096774, 2.85730033707729
2012-02, -99.9, -99.9
2012-03, -99.9, -99.9
2012-04, 12.58, 0.800366478067645
2012-05, 12.9193548387097, 1.00124787610685
2012-06, 11.6133333333333, 0.228147286568158
2012-07, 12.5, 0.753010407047
2012-08, 10.6612903225806, -0.335415418830769
2012-09, 10.3733333333333, -0.505871814251849
