"Description: ","Standardised Precipitation Index"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spi
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, -0.497028770908496
2008-07, 0.50922353584726
2008-08, 0.899293273228709
2008-09, 1.59544909460994
2008-10, 1.2569514204001
2008-11, 0.877951350191158
2008-12, 0.330793497596984
2009-01, -0.226140992608362
2009-02, -0.13881030191346
2009-03, -0.130098804258786
2009-04, -0.505320161771591
2009-05, -0.500822938022566
2009-06, -0.373269748878952
2009-07, -0.444755217166615
2009-08, -0.882002904518604
2009-09, -0.990821892994935
2009-10, -1.13673497987833
2009-11, 0.836319276138236
2009-12, 0.860800144534319
2010-01, 1.03339203035179
2010-02, 1.22722060991101
2010-03, 1.04998936569381
2010-04, 1.2125536389013
2010-05, 0.456586682871046
2010-06, 0.298439112101814
2010-07, 0.725830730790164
2010-08, 0.0772372332910901
2010-09, 0.7324564730355
2010-10, -0.345940363761237
2010-11, -0.905606171695442
2010-12, -0.755157942196258
2011-01, -1.26041959601154
2011-02, -1.09692558864377
2011-03, -1.60955683249547
2011-04, -0.664510823385871
2011-05, -0.498562426116558
2011-06, -0.264484408418567
2011-07, 0.0681368346670625
2011-08, 0.0299265026061035
2011-09, -0.530501938346221
2011-10, -0.818010735687088
2011-11, -0.819613998103392
2011-12, -1.01073831558035
2012-01, -1.41666050419215
2012-02, -1.88849848161948
2012-03, -2.3452221074347
2012-04, -1.84803762392637
2012-05, -2.52355074855556
2012-06, -2.42056334389043
2012-07, -2.06475517419318
2012-08, -1.58807791646154
2012-09, -1.83489629967948
2012-10, -0.565500270846447
2012-11, -0.3872646013982
2012-12, 0.354227494477222
2013-01, 0.196995966191154
2013-02, 0.183724392458391
2013-03, 0.148878313616761
2013-04, -0.0279902182357299
2013-05, 0.279353403067325
2013-06, -0.0282386320229368
2013-07, 0.298714093152248
2013-08, 0.356959206619414
2013-09, -0.277359194880729
2013-10, -0.773240984989243
2013-11, -0.374415490944627
2013-12, -0.637119466099137
2014-01, -0.356572930992234
2014-02, 0.0115222005528185
2014-03, 0.746109413910957
2014-04, 0.708329711576563
2014-05, 0.473940409129434
2014-06, 0.945518654118233
2014-07, 1.02759303797385
2014-08, 0.637683489312
2014-09, -0.0670183784123563
2014-10, 0.0479068450159649
2014-11, -0.117209839864244
2014-12, 0.10134136497269
2015-01, 0.390995209408088
2015-02, 0.421680813530864
2015-03, 0.418877398422708
2015-04, 0.283842515954018
2015-05, 0.346585093293022
2015-06, 0.262582763558201
2015-07, 0.390570257445275
2015-08, 0.408750331334358
2015-09, 0.274152062828444
2015-10, 1.31902753333656
2015-11, 1.05901604770502
2015-12, 1.46466810531272
2016-01, 0.912127633160344
2016-02, 0.901403806537965
2016-03, 1.03552710080602
2016-04, 0.770276774769458
2016-05, 0.761032793769858
2016-06, 0.0683032304303824
2016-07, -0.069657595097164
2016-08, -99.9
2016-09, -99.9
2016-10, -99.9
2016-11, -99.9
2016-12, -99.9
2017-01, -99.9
2017-02, -99.9
2017-03, 1.0710487700061
2017-04, 0.949820387958652
2017-05, 1.34427572793494
2017-06, 1.56348865646228
2017-07, 1.34084696614253
2017-08, 1.28159590120776
2017-09, 1.28019096950566
2017-10, 1.27154666823512
2017-11, 0.279249688350033
2017-12, 0.191222611512209
2018-01, 0.491915564151205
2018-02, 0.0432579535091967
2018-03, -0.0904049903935302
2018-04, -0.520178099202374
2018-05, -0.61926024734072
2018-06, -0.597484101612968
2018-07, -0.977814515390861
2018-08, -0.464478767967328
2018-09, 0.323825703953232
2018-10, 0.0455960565052911
2018-11, 0.892416150132898
2018-12, 0.891681476637534
2019-01, 1.50593307783377
2019-02, 1.36172794035446
2019-03, 1.24166365486511
2019-04, 1.32215583927657
2019-05, 1.25423557308125
2019-06, 1.07972703360692
2019-07, 0.683969440801779
2019-08, 0.79123165681671
2019-09, 0.995040706329095
2019-10, 1.42549283462488
2019-11, 1.02789828428844
2019-12, 0.551511852123798
2020-01, -0.0532222975908531
2020-02, -0.188628939306846
2020-03, -0.345359147330219
2020-04, -1.37313788581167
2020-05, -1.04556791580459
2020-06, -0.587568832826468
2020-07, -0.47317622110612
2020-08, -0.471995848985857
2020-09, -0.766386681330597
2020-10, -0.855125051679479
2020-11, -1.74202306831529
2020-12, -1.40324837033289
2021-01, -0.461260466967136
2021-02, -0.348336707088813
2021-03, -0.217336652896992
2021-04, 0.0739585468833624
2021-05, 0.258628724711976
