"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spei
2008-01, -99.9
2008-02, -99.9
2008-03, -0.672301937250982
2008-04, -0.319798135056113
2008-05, -0.197192642920025
2008-06, 0.320872349627686
2008-07, 0.35211183745894
2008-08, 0.532853636796416
2008-09, -0.0914899376250144
2008-10, -0.0273151729650514
2008-11, -0.34322050882595
2008-12, -0.662578081078988
2009-01, -0.965961860207769
2009-02, -0.491766267877284
2009-03, 0.168776331573183
2009-04, -0.584216172157507
2009-05, -1.25173513887104
2009-06, -2.41279714823226
2009-07, -0.976598176254033
2009-08, -0.133146495398845
2009-09, 1.4201873529747
2009-10, 0.908508206934563
2009-11, 1.60162344284661
2009-12, 1.39097597970509
2010-01, 2.07183565794337
2010-02, 1.85270991065333
2010-03, 1.58077409398772
2010-04, -0.792621699726453
2010-05, -0.914698238412654
2010-06, 0.131694755803762
2010-07, 0.91859166267441
2010-08, 1.18660928263431
2010-09, 1.28307968869955
2010-10, -0.621155438886992
2010-11, -0.682823291509683
2010-12, -0.803291370490759
2011-01, -0.220752705527317
2011-02, 0.43012364426763
2011-03, -0.0808168596933809
2011-04, 0.224883998189104
2011-05, -0.515087232921101
2011-06, -0.05958710444557
2011-07, -99.9
2011-08, -99.9
2011-09, -99.9
2011-10, -1.12226544558103
2011-11, -1.10323658074523
2011-12, -1.0540617804522
2012-01, -1.44015849383826
2012-02, -1.29114750851116
2012-03, -0.956336757788766
2012-04, -0.14686759758204
2012-05, -0.0528156352747826
2012-06, -1.22786419740468
2012-07, -1.73940269907025
2012-08, -2.16304090857023
2012-09, -1.25808019238322
2012-10, 0.326129003064408
2012-11, 0.183872957205134
2012-12, 0.671227472273109
2013-01, 0.34473003284206
2013-02, 0.749193352747225
2013-03, 0.536137251090352
2013-04, 0.671839433625924
2013-05, 0.494863569261001
2013-06, -0.0953407597969724
2013-07, -0.763817078989718
2013-08, 0.260291528705893
2013-09, -0.24392041074081
2013-10, -0.95589453093645
2013-11, -0.0256740195821315
2013-12, 0.0485285024283073
2014-01, 0.348387238609181
2014-02, -0.386944101036397
2014-03, 0.688173509158203
2014-04, 0.492742559746121
2014-05, 0.803338778101985
2014-06, 1.27082161252721
2014-07, 2.15845511852719
2014-08, 2.03232191428405
2014-09, 0.874345737613278
2014-10, -0.729898213765145
2014-11, -0.775604097378973
2014-12, 0.241118839816961
2015-01, 0.662986467284793
2015-02, 1.14532244601798
2015-03, 0.429267110752468
2015-04, -0.223168074833957
2015-05, 0.0138448402039708
2015-06, 0.168822841444833
2015-07, 0.735013338407636
2015-08, 0.864460819492607
2015-09, 0.755373782374926
2015-10, 1.56897828889333
2015-11, 1.39916480815678
2015-12, 1.76672423493396
2016-01, 1.00602446260489
2016-02, 0.997691395360275
2016-03, 0.620263798402
2016-04, 0.860510955747119
2016-05, 0.629998424285714
2016-06, -0.927327360555517
2016-07, -1.34013825374672
2016-08, -0.943807834190321
2016-09, -1.0229593187378
2016-10, 0.639747301374005
2016-11, 0.634749026744802
2016-12, 0.898581124842314
2017-01, 0.524316916964785
2017-02, 1.03479599189463
2017-03, 1.98560961634498
2017-04, 1.47832533379518
2017-05, 1.27310686412834
2017-06, 1.2170821349383
2017-07, 0.526392548988404
2017-08, 0.365660250402734
2017-09, 0.0174922482838237
2017-10, 0.973227471658877
2017-11, -0.213013458109364
2017-12, -0.404149264428553
2018-01, -0.653194837446949
2018-02, -0.500769364065095
2018-03, -0.0363905174940403
2018-04, 0.20155485044831
2018-05, 0.0480496014412606
2018-06, -0.560193045174864
2018-07, -0.72770678371573
2018-08, -0.0500752908319306
2018-09, 0.644915226591939
2018-10, -0.548369969355463
2018-11, 0.0811394513020721
2018-12, -0.0932185639752252
2019-01, 0.689357565694106
2019-02, 0.414044354472686
2019-03, 0.453536318184164
2019-04, -0.039631766318585
2019-05, 0.847093102814832
2019-06, 0.632022246819754
2019-07, 0.117688878849424
2019-08, -0.965761977526339
2019-09, -1.00276089827939
2019-10, 0.380790944490184
2019-11, 0.606460361204423
2019-12, 0.415683254794174
2020-01, 0.056457817205915
2020-02, -0.380155454246657
2020-03, -0.969335169418761
2020-04, -1.8826756645418
2020-05, -1.62635078934897
2020-06, -0.13189395734713
2020-07, 0.445902352759135
2020-08, -0.380439811625728
2020-09, -1.11836207988294
2020-10, -99.9
2020-11, -99.9
2020-12, -99.9
2021-01, -99.9
2021-02, -0.598954843616915
2021-03, -0.37562178789369
2021-04, -1.29672169982761
2021-05, -0.89061194903081
2021-06, -0.25062286482986
2021-07, -0.277170282446226
2021-08, -0.427696656308046
2021-09, -0.564517682395533
2021-10, -0.380216825638259
2021-11, -0.67728716372835
2021-12, -1.29649915121845
2022-01, -1.1594421560679
2022-02, -1.36633732211794
2022-03, -0.494261432319617
2022-04, 0.544388774687039
2022-05, 0.812756921815642
2022-06, 0.826367353996585
2022-07, 0.323095553648069
2022-08, 0.29013481218356
2022-09, -0.839341559345709
2022-10, -1.77917460663363
2022-11, -1.83345157626188
2022-12, -1.53107440983567
2023-01, -1.40808290065757
2023-02, -1.48650001000961
2023-03, -2.30480849886269
2023-04, -1.23496130293866
2023-05, -0.900041613620301
2023-06, -0.474925882517576
2023-07, 0.196001603319022
2023-08, -0.36844609363994
2023-09, 1.55037851883945
2023-10, 1.38139337746892
2023-11, 1.4546367611822
2023-12, 0.671654705309693
2024-01, 0.306404199954098
