"Description: ","Standardised Precipitation Index"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spi
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, -99.9
2008-07, -99.9
2008-08, -99.9
2008-09, -99.9
2008-10, -99.9
2008-11, -99.9
2008-12, -0.981140092648873
2009-01, -0.83022945767425
2009-02, -0.762537071923139
2009-03, -0.694559510244845
2009-04, -0.957130513660935
2009-05, -0.964730897473775
2009-06, -1.14786615095112
2009-07, -1.04953112129961
2009-08, -0.835194913127412
2009-09, -0.474160998885857
2009-10, -0.866194169548402
2009-11, 0.222576557704675
2009-12, 1.00031792188301
2010-01, 1.63547754237182
2010-02, 1.61419224678384
2010-03, 1.43599015969425
2010-04, 1.40583146696753
2010-05, 1.21519135158447
2010-06, 1.32806504279708
2010-07, 1.68214071288058
2010-08, 1.55895938270214
2010-09, 1.56148501650152
2010-10, 1.34704743501136
2010-11, 0.73309803034498
2010-12, 0.328883954006438
2011-01, -0.552825261348578
2011-02, -0.434143008478559
2011-03, -0.32552183348628
2011-04, -0.151936738037563
2011-05, -0.282312773684332
2011-06, -0.339633761787759
2011-07, -99.9
2011-08, -99.9
2011-09, -99.9
2011-10, -99.9
2011-11, -99.9
2011-12, -99.9
2012-01, -99.9
2012-02, -99.9
2012-03, -99.9
2012-04, -99.9
2012-05, -99.9
2012-06, -99.9
2012-07, -1.67631903217381
2012-08, -1.58772374128272
2012-09, -1.67300117803251
2012-10, -1.39509563737693
2012-11, -1.61925606445799
2012-12, -0.602315229584527
2013-01, -0.316931866418674
2013-02, -0.471130104089902
2013-03, -0.312599997860953
2013-04, -0.139311337801793
2013-05, -0.308989350562624
2013-06, -0.101259230366503
2013-07, 0.312299616680086
2013-08, 0.505835737107567
2013-09, 0.234250354608344
2013-10, -0.200167840759009
2013-11, 0.431134291733584
2013-12, -0.215544067366989
2014-01, -0.237904072818408
2014-02, -0.195459696385122
2014-03, -0.0639321424041967
2014-04, -0.288076309277996
2014-05, -0.0462284592490257
2014-06, 0.418407314529621
2014-07, 0.84896527141536
2014-08, 0.711808915189397
2014-09, 0.971071460342593
2014-10, 0.966226220550798
2014-11, 0.51860773838722
2014-12, 1.19374903186243
2015-01, 1.19868733736319
2015-02, 1.15287075794556
2015-03, 0.954784985447661
2015-04, 0.830253399784456
2015-05, 0.534278745508053
2015-06, 0.211743401308426
2015-07, 0.281695126636472
2015-08, 0.270204448937054
2015-09, 0.251176723611422
2015-10, 0.873551855309765
2015-11, 1.47166310024136
2015-12, 1.54114194939942
2016-01, 1.21945697764644
2016-02, 1.29272988715918
2016-03, 1.56833935523498
2016-04, 1.38321856873367
2016-05, 1.05840076085212
2016-06, 0.801123071826792
2016-07, 0.690741446107709
2016-08, 0.768967204779463
2016-09, 0.55264666054933
2016-10, 0.358086958096853
2016-11, 0.444172583409884
2016-12, -0.207450372730988
2017-01, 0.120008082676765
2017-02, 0.466042402073655
2017-03, 0.516555199664279
2017-04, 0.33262512552171
2017-05, 0.729712565323842
2017-06, 0.98508771594717
2017-07, 0.941499787518492
2017-08, 1.1458397147518
2017-09, 1.46943903117124
2017-10, 1.06579661524464
2017-11, 1.08738725528274
2017-12, 0.929454609110986
2018-01, 0.593729740431207
2018-02, 0.27820954649272
2018-03, 0.141804485968785
2018-04, 0.202695016690077
2018-05, -0.433882633119165
2018-06, -0.575063995436291
2018-07, -0.0725158337999529
2018-08, -0.366883044134002
2018-09, -0.38954099756009
2018-10, -0.827999187846795
2018-11, -0.555465199138636
2018-12, -0.33857784393947
2019-01, -0.0190896291028751
2019-02, -0.138842502535489
2019-03, -0.27396360979713
2019-04, -0.215945986144362
2019-05, 0.137812189738924
2019-06, 0.0545277870795196
2019-07, 0.228437085556618
2019-08, 0.162466459689658
2019-09, -0.249543645328624
2019-10, 0.495102407760135
2019-11, 0.435671676805966
2019-12, 0.166467508548776
2020-01, 0.20846249044304
2020-02, 0.138120526332942
2020-03, -0.0919714647612236
2020-04, -0.572790092664232
2020-05, -0.592010049186253
2020-06, -0.283982695414252
2020-07, -0.168565473814229
2020-08, -0.198196690016571
2020-09, -0.29237905465949
2020-10, -99.9
2020-11, -99.9
2020-12, -99.9
2021-01, -99.9
2021-02, -99.9
2021-03, -99.9
2021-04, -99.9
2021-05, -99.9
2021-06, -99.9
2021-07, -99.9
2021-08, -99.9
2021-09, -99.9
2021-10, -99.9
2021-11, -1.56086966720453
2021-12, -1.65278740884257
2022-01, -1.680641471952
2022-02, -1.77324538765569
2022-03, -1.44682483048915
2022-04, -0.667624654460258
2022-05, -0.76670884116027
2022-06, -0.800997694643714
2022-07, -0.250532089757195
2022-08, -0.336992529564737
2022-09, -0.899000802068044
2022-10, -1.08940367333689
2022-11, -1.39069552751125
2022-12, -1.32582539505602
2023-01, -1.44024163897298
2023-02, -1.39256993773874
2023-03, -1.89014879583432
2023-04, -2.25261203280612
2023-05, -1.83059338947943
2023-06, -1.92819629220438
2023-07, -1.66102532961211
2023-08, -1.64404180730877
2023-09, -0.909974663106906
2023-10, -0.567326893330299
2023-11, -0.156882555949822
2023-12, 0.292674883393555
2024-01, 0.229345178312212
2024-02, 0.345142213690427
2024-03, 0.578935544101134
2024-04, 1.16704496433231
2024-05, 1.71763739852274
2024-06, 1.53593215669538
2024-07, -99.9
2024-08, -99.9
2024-09, -99.9
2024-10, -99.9
2024-11, -99.9
2024-12, -99.9
