"Description: ","Monthly mean daily mean temperature"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmm, normalised (all years)
2008-01, 24.1870967741935, 1.00659871343668
2008-02, 24.0793103448276, 0.980649397338211
2008-03, 23.1403225806452, 0.75459041710562
2008-04, 19.1, -0.218107244388023
2008-05, 16.0066666666667, -0.962819588389316
2008-06, 12.3844827586207, -1.83485139934774
2008-07, 16.435, -0.859699398514144
2008-08, 14.9612903225806, -1.21449135592203
2008-09, 15.3233333333333, -1.12733039713962
2008-10, 19.3387096774194, -0.160638480355654
2008-11, 22.6916666666667, 0.646577616238494
2008-12, 23.9290322580645, 0.944470319888196
2009-01, 23.6564516129032, 0.878847204202596
2009-02, 24.5553571428571, 1.09525648574819
2009-03, 23.241935483871, 0.779053472065338
2009-04, 20.13, 0.0298627063624094
2009-05, 17.4, -0.627378036888738
2009-06, 12.3783333333333, -1.83633185826586
2009-07, 11.2483870967742, -2.108363618101
2009-08, 16.7661290322581, -0.779980903542222
2009-09, 16.2383333333333, -0.907046411764234
2009-10, 18.9783333333333, -0.247398193263083
2009-11, 23.5016666666667, 0.841583111488835
2009-12, 24.241935483871, 1.01980099706576
2010-01, 24.7709677419355, 1.14716420384017
2010-02, 26.2982142857143, 1.51484502932036
2010-03, 23.9806451612903, 0.956895998597894
2010-04, 19.7116666666667, -0.0708500082627578
2010-05, 16.3322580645161, -0.884434265195645
2010-06, 14.4816666666667, -1.32995956401496
2010-07, 13.8225806451613, -1.48863289245476
2010-08, 13.7883333333333, -1.49687784801526
2010-09, 17.1785714285714, -0.680686417424552
2010-10, 18.1548387096774, -0.445652485759393
2010-11, 20.9633333333333, 0.230485643862752
2010-12, 23.9435483870968, 0.947965042025309
2011-01, 26.2887096774194, 1.51255681839727
2011-02, 24.7678571428571, 1.14641533481078
2011-03, 22.7758064516129, 0.66683406121836
2011-04, 20.0933333333333, 0.0210352971123866
2011-05, 16.0322580645161, -0.956658522695772
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 17.19, -0.677935017138826
2011-10, 19.6935483870968, -0.0752119392264771
2011-11, 22.4216666666667, 0.581575784488381
2011-12, 23.4612903225806, 0.831862606581541
2012-01, 25.9145161290323, 1.42247064775195
2012-02, 26.8741379310345, 1.65349722152042
2012-03, 23.3338709677419, 0.801186712266973
2012-04, 19.3716666666667, -0.152704166762901
2012-05, 18.2064516129032, -0.433226807049695
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 19.9532258064516, -0.0126952432183133
2012-09, 18.1166666666667, -0.454842310638429
2012-10, 21.0064516129032, 0.240866262951481
2012-11, 23.7233333333333, 0.894948812863912
2012-12, 25.3887096774194, 1.29588404589689
2013-01, 23.9967741935484, 0.960779023194683
2013-02, 24.2696428571429, 1.02647147860523
2013-03, 21.205, 0.288666295737861
2013-04, 20.1166666666667, 0.0266527393624118
2013-05, 15.9677419354839, -0.972190621082881
2013-06, 13.9533333333333, -1.45715450639019
2013-07, 14.0145161290323, -1.44242489975305
2013-08, 13.7225806451613, -1.5127076449548
2013-09, 17.725, -0.549135091263601
2013-10, 20.0129032258065, 0.00167194778979147
