"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spei
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, -0.594378529973561
2008-07, -0.496698053179522
2008-08, -0.218040281376325
2008-09, -0.844694196293429
2008-10, 0.135759516404081
2008-11, -0.136579389048266
2008-12, -0.709325990245326
2009-01, -0.790029928296958
2009-02, -0.747595802812057
2009-03, -0.625532324903155
2009-04, -1.05901147663192
2009-05, -1.01672775896582
2009-06, -0.854372483314002
2009-07, -1.05151011105458
2009-08, -2.36260257327299
2009-09, -2.18601327555712
2009-10, -1.48905956185025
2009-11, 1.53837977225624
2009-12, 1.54737928456669
2010-01, 1.52566020712406
2010-02, 1.78141901721805
2010-03, 1.74318407109383
2010-04, 1.76202262445838
2010-05, 1.25147460959839
2010-06, 0.817456027860365
2010-07, 1.26001047391112
2010-08, 0.13317642834505
2010-09, 0.593016141801023
2010-10, 0.0755673729522632
2010-11, -1.17345835976043
2010-12, -0.657453128602476
2011-01, -0.864752161127038
2011-02, -0.697542660905769
2011-03, -1.0655472652047
2011-04, -0.927406259960447
2011-05, -0.932759121864003
2011-06, -0.913701996472123
2011-07, -1.09145648817827
2011-08, -0.872201823273909
2011-09, -0.786957236202691
2011-10, -0.0244540744141659
2011-11, 0.0990182917380862
2011-12, 0.260057635477152
2012-01, -0.285489647382814
2012-02, -0.470704488132272
2012-03, -0.679709025444975
2012-04, -0.713416241795985
2012-05, -0.895344863199349
2012-06, -1.28227748667961
2012-07, -1.42387947628854
2012-08, -0.854092428126533
2012-09, -0.749003360034437
2012-10, -1.52143478805812
2012-11, -1.62559230027531
2012-12, 0.160581908217303
2013-01, 0.120441032811175
2013-02, 0.267042133484389
2013-03, 0.539251360203491
2013-04, 0.672557602626299
2013-05, 1.00468953653934
2013-06, 0.63594279817325
2013-07, 1.10307422614634
2013-08, 0.222530179331832
2013-09, -0.794251737788143
2013-10, -1.20236771455374
2013-11, -0.0434719300358219
2013-12, -0.13041169520004
2014-01, -0.305297576765923
2014-02, 0.292628311596501
2014-03, 0.59509279361523
2014-04, 0.722325470957859
2014-05, 0.611508582743118
2014-06, 1.18742281190598
2014-07, 1.56986985171254
2014-08, 1.05541081145625
2014-09, 1.16776926248346
2014-10, 1.06772348362219
2014-11, 0.569070337151443
2014-12, 1.2174840476362
2015-01, 1.11210431223985
2015-02, 1.13736431492325
2015-03, 0.811907250607142
2015-04, 0.613924801788021
2015-05, 0.864112444978422
2015-06, -0.0518023038655488
2015-07, -0.220287399208281
2015-08, 0.171598843952756
2015-09, 0.0354197461081749
2015-10, 1.66450207031039
2015-11, 1.78473106241424
2015-12, 1.70728120001703
2016-01, 1.51634742667251
2016-02, 1.16672579387344
2016-03, 1.26713260162115
2016-04, 0.915682138621123
2016-05, -99.9
2016-06, -99.9
2016-07, -99.9
2016-08, -99.9
2016-09, -99.9
2016-10, -99.9
2016-11, -99.9
2016-12, -0.358904576281243
2017-01, -0.29875691411812
2017-02, -0.153326966640207
2017-03, -0.084430731226448
2017-04, 0.112727095804979
2017-05, 0.611045039602525
2017-06, 1.17793453729796
2017-07, 1.6344566359878
2017-08, 2.05779806665403
2017-09, 2.02547664596197
2017-10, 1.34288230517705
2017-11, 0.313179013235172
2017-12, -0.228187337686402
2018-01, -0.408350970945198
2018-02, -0.801016917364956
2018-03, -0.883569463718697
2018-04, -0.874652669328083
2018-05, -0.744622085948679
2018-06, -0.459894401643237
2018-07, -0.00392195104477167
2018-08, 0.544638156246355
2018-09, 0.875524690046437
2018-10, 0.326944651655132
2018-11, -0.548489941742753
2018-12, -0.804899018565901
2019-01, 1.01783121276735
2019-02, 0.745594731920074
2019-03, 0.449420749340881
2019-04, 0.795124569971828
2019-05, 1.23631326298218
2019-06, 1.67498713074262
2019-07, -0.128861080571111
2019-08, 0.00596659014962818
2019-09, -0.25134419152056
2019-10, -0.34042522145849
2019-11, 0.531397935475448
2019-12, 0.340263626738797
2020-01, 0.0844347172861826
2020-02, 0.0491580689296248
2020-03, -0.0285240355179969
2020-04, -0.447312458564092
2020-05, -0.368612723309491
2020-06, 0.131074728582242
2020-07, 0.128575721214614
2020-08, -0.241658530083651
2020-09, 0.571804633758587
2020-10, -0.121790818813353
2020-11, -99.9
2020-12, -99.9
2021-01, -99.9
2021-02, -99.9
2021-03, -99.9
2021-04, -99.9
2021-05, -0.285651195359554
2021-06, 0.268917252784672
2021-07, 0.259052812043786
2021-08, 0.385889584858236
2021-09, 0.308289519340751
2021-10, -0.00416307078904324
2021-11, -0.552876495241104
2021-12, -1.45960047354336
2022-01, -1.38018275335579
2022-02, -1.32318341015998
2022-03, -1.32821855681164
2022-04, -1.04098800674797
2022-05, -1.23243536245489
2022-06, -1.0868274003106
2022-07, 0.0316427153438176
2022-08, 1.03418179083983
2022-09, 0.137128564033997
2022-10, -0.876172714258276
2022-11, -1.01422866441615
2022-12, -1.24639065855305
2023-01, -1.57408359113989
2023-02, -1.69129205206923
2023-03, -1.4497818882866
2023-04, -1.51616250844622
2023-05, -1.40903839704929
2023-06, -1.40209256861578
2023-07, -1.03444681533267
2023-08, -0.792044073275164
2023-09, 0.316795692115769
2023-10, 0.984864691754012
2023-11, 0.781578304091702
2023-12, 1.0477965804624
2024-01, 0.781013038913961
2024-02, 0.602437967833096
2024-03, 0.885472007382074
